id,drill_pack_id,pack_name,contrast_type,word_1_en,word_2_en,target_phoneme_en,contrast_phoneme_en,position,ipa_1,ipa_2,frequency_rank,difficulty,tier,clinical_note_en,source_row_id,source_language,target_language,translation_status,word_1_es,word_2_es,target_phoneme_es,contrast_phoneme_es,clinical_note_es
drill_pb_001,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pala,bala,/p/,/b/,initial,/ˈpa.la/,/ˈba.la/,high,1,free,High-familiarity starter pair with matched vowel frame,drill_pb_001,es,es,approved_for_launch,pala,bala,/p/,/b/,Par inicial de alta familiaridad con marco vocálico igualado.
drill_pb_002,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pata,bata,/p/,/b/,initial,/ˈpa.ta/,/ˈba.ta/,high,1,free,Simple bisyllabic onset contrast for early voicing work,drill_pb_002,es,es,approved_for_launch,pata,bata,/p/,/b/,Contraste bisilábico simple para trabajo temprano de sonoridad.
drill_pb_003,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,paca,vaca,/p/,/b/,initial,/ˈpa.ka/,/ˈba.ka/,high,1,free,Common lexical pair; orthographic v still realizes Spanish /b/,drill_pb_003,es,es,approved_for_launch,paca,vaca,/p/,/b/,Par frecuente; la grafía con v sigue realizando /b/ en español.
drill_pb_004,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,peso,beso,/p/,/b/,initial,/ˈpe.so/,/ˈbe.so/,high,1,free,Highly functional pair with identical stress and vowels,drill_pb_004,es,es,approved_for_launch,peso,beso,/p/,/b/,Par muy funcional con mismo acento y mismas vocales.
drill_pb_005,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pena,vena,/p/,/b/,initial,/ˈpe.na/,/ˈbe.na/,high,1,free,Frequent onset contrast with nasal coda support,drill_pb_005,es,es,approved_for_launch,pena,vena,/p/,/b/,Contraste inicial frecuente con apoyo nasal posterior.
drill_pb_006,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,poca,boca,/p/,/b/,initial,/ˈpo.ka/,/ˈbo.ka/,high,1,free,Clear initial stop contrast in a common open-syllable frame,drill_pb_006,es,es,approved_for_launch,poca,boca,/p/,/b/,Contraste claro de oclusivas en marco silábico abierto y frecuente.
drill_pb_007,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,polo,bolo,/p/,/b/,initial,/ˈpo.lo/,/ˈbo.lo/,medium,2,free,Rounded-vowel onset pair with matched rhythm,drill_pb_007,es,es,approved_for_launch,polo,bolo,/p/,/b/,Par con vocal redondeada y ritmo igualado.
drill_pb_008,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pino,vino,/p/,/b/,initial,/ˈpi.no/,/ˈbi.no/,high,1,free,High-familiarity pair using orthographic v for Spanish /b/,drill_pb_008,es,es,approved_for_launch,pino,vino,/p/,/b/,Par de alta familiaridad que usa v ortográfica para /b/ en español.
drill_pb_009,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pasa,basa,/p/,/b/,initial,/ˈpa.sa/,/ˈba.sa/,medium,2,free,Verb-frame pair keeps the same onset task with moderate load,drill_pb_009,es,es,approved_for_launch,pasa,basa,/p/,/b/,Par verbal que mantiene la misma tarea inicial con carga moderada.
drill_pb_010,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,pato,bato,/p/,/b/,initial,/ˈpa.to/,/ˈba.to/,medium,1,free,Short onset pair with strong voicing cue,drill_pb_010,es,es,approved_for_launch,pato,bato,/p/,/b/,Par breve con pista fuerte de sonoridad.
drill_pb_011,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,capa,cava,/p/,/b/,medial,/ˈka.pa/,/ˈka.ba/,high,2,free,Intervocalic /p/ versus /b/ in the same consonant-vowel frame,drill_pb_011,es,es,approved_for_launch,capa,cava,/p/,/b/,/p/ frente a /b/ intervocálicas en el mismo marco consonante-vocal.
drill_pb_012,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,capas,cavas,/p/,/b/,medial,/ˈka.pas/,/ˈka.bas/,medium,2,free,Plural extension of the same medial contrast,drill_pb_012,es,es,approved_for_launch,capas,cavas,/p/,/b/,Extensión plural del mismo contraste medial.
drill_pb_013,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,cupo,cubo,/p/,/b/,medial,/ˈku.po/,/ˈku.bo/,medium,2,free,High-transfer medial contrast with identical onset and vowel pattern,drill_pb_013,es,es,approved_for_launch,cupo,cubo,/p/,/b/,Contraste medial de alta transferencia con mismo inicio y patrón vocálico.
drill_pb_014,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,cupos,cubos,/p/,/b/,medial,/ˈku.pos/,/ˈku.bos/,medium,2,free,Plural lexical frame preserves the same medial task,drill_pb_014,es,es,approved_for_launch,cupos,cubos,/p/,/b/,Marco plural que preserva la misma tarea medial.
drill_pb_015,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,sopa,soba,/p/,/b/,medial,/ˈso.pa/,/ˈso.ba/,high,2,free,Common lexical pair with strong semantic separation,drill_pb_015,es,es,approved_for_launch,sopa,soba,/p/,/b/,Par frecuente con separación semántica fuerte.
drill_pb_016,pack_p_vs_b,Voicing: /p/ vs /b/,voicing,sopas,sobas,/p/,/b/,medial,/ˈso.pas/,/ˈso.bas/,medium,2,free,Plural/verb frame keeps the medial contrast stable,drill_pb_016,es,es,approved_for_launch,sopas,sobas,/p/,/b/,Marco plural/verbal que mantiene estable el contraste medial.
