id,category,prompt_text,response_text,target_keyword,target_phoneme,acoustic_foil,semantic_foil,plausible_foil,difficulty,tier
conv_appt_001,appointments,"What time is the appointment?","It's at three thirty.",three thirty,/θ/,four fifteen,on Tuesday,not sure yet,2,free
conv_appt_002,appointments,"When should I arrive?","Please come fifteen minutes early.",fifteen minutes,/f/,fifty minutes early,after lunch,whenever you can,2,free
conv_appt_003,appointments,"Which doctor am I seeing?","You're seeing Doctor Miller.",Doctor Miller,/m/,Doctor Wheeler,the specialist,the one on call,2,free
conv_appt_004,appointments,"What floor is the office on?","It's on the third floor.",third floor,/θ/,first floor,the main building,take the elevator,2,free
conv_appt_005,appointments,"Do I need to bring anything?","Bring your insurance card.",insurance card,/ʃ/,insurance form,all your paperwork,just yourself,2,free
conv_appt_006,appointments,"How long will it take?","About forty-five minutes.",forty-five,/f/,twenty-five minutes,the whole morning,depends on results,3,free
conv_appt_007,appointments,"Can I reschedule?","Yes, call us tomorrow morning.",tomorrow morning,/m/,tomorrow evening,as soon as possible,whenever works,2,free
conv_appt_008,appointments,"Is parking available?","Yes, use the garage on Main Street.",Main Street,/s/,First Street,behind the building,there's a lot nearby,3,free
conv_appt_009,appointments,"What's the copay?","Twenty-five dollars.",Twenty-five,/t/,Thirty-five dollars,depends on insurance,we'll bill you later,2,free
conv_appt_010,appointments,"Is the doctor running late?","About fifteen minutes behind.",fifteen minutes,/f/,fifty minutes behind,quite a while,just a little,2,free
conv_dir_001,directions,"Where is the pharmacy?","It's on the corner of Fifth and Oak.",Fifth and Oak,/f/,Sixth and Oak,down the street,I'm not sure,2,free
conv_dir_002,directions,"How do I get to the elevator?","Go straight and turn left at the end.",turn left,/l/,turn right,keep going straight,it's near the entrance,2,free
conv_dir_003,directions,"Which bus goes downtown?","Take the number twelve.",number twelve,/t/,number twenty,the blue line,any of them work,2,free
conv_dir_004,directions,"Is the hospital nearby?","It's about three blocks north.",three blocks,/θ/,two blocks north,pretty close by,take a taxi,2,free
